,product_category_name_english,price,count,percent,cumsum_percent,ABC,mean_quantity_per_month,std_deviation,variation,XYZ
42,furniture_mattress_and_upholstery,4368.08,38.0,0.032145310414538275,99.89834680675148,C,3.4545454545454546,3.205109557055308,92.7794871779168,Z
43,garden_tools,485121.46,4347.0,3.5700765371637,62.36326018623088,A,197.54545454545453,120.51742702385502,61.00744119937438,Z
44,health_beauty,1258681.34,9670.0,9.2628116672055,9.2628116672055,A,420.4347826086956,292.46255799005615,69.56193209691098,Z
45,home_appliances,80171.53,771.0,0.5899934795741992,92.97328600173194,B,40.578947368421055,29.682235221076233,73.1468831647793,Z
46,home_appliances_2,113317.74,238.0,0.8339210654964976,91.77183544967728,B,11.9,7.677033418271876,64.51288586783089,Z
47,home_comfort_2,760.27,30.0,0.0055949330481266405,99.98834945176606,C,2.3076923076923075,1.4935759876113537,64.72162612982532,Z
48,home_confort,58572.04,434.0,0.4310398178176115,94.88373386999594,B,22.842105263157894,8.96451744933408,39.2455833035363,Z
49,home_construction,83088.12,604.0,0.6114570724804506,92.38329252215773,B,31.789473684210527,27.84197260605813,87.58236415812986,Z
50,housewares,632248.66,6964.0,4.652806137908618,54.432136855057536,A,316.3636363636364,204.1583291874798,64.53280520293902,Z
51,industry_commerce_and_business,39340.61,267.0,0.2895130401337175,97.5836892189317,C,14.833333333333334,16.20911145367466,109.27490867645837,Z
52,kitchen_dining_laundry_garden_furniture,46328.37,281.0,0.34093694132194985,96.69627905690676,C,14.05,9.444993104118293,67.22415020724763,Z
53,la_cuisine,2054.99,14.0,0.01512295824453124,99.94969991301694,C,1.5555555555555556,0.881917103688197,56.69467095138408,Z
54,luggage_accessories,140429.98,1092.0,1.03344382397012,90.93791438418079,B,54.6,24.57726805939094,45.013311464085966,Z
55,market_place,28378.47,311.0,0.20884112178340647,98.00884054762335,C,14.80952380952381,6.384505052226427,43.11080581889227,Z
56,music,6034.35,38.0,0.04440762392171597,99.75489877849756,C,2.533333333333333,1.9591057240729095,77.33312068708854,Z
57,musical_instruments,191498.88,680.0,1.409266987243003,82.6006309406889,B,34.0,18.28142571890358,53.76889917324582,Z
58,office_furniture,273960.7,1691.0,2.016115030604796,76.27382667793762,A,80.52380952380952,45.45395367580146,56.447843121929665,Z
59,party_supplies,4485.18,43.0,0.03300706565930084,99.86620149633694,C,3.3076923076923075,3.4972516682059402,105.73086438762145,Z
60,perfumery,399124.87,3419.0,2.937215627990384,71.87651831238102,A,155.4090909090909,82.12572190936405,52.84486346902629,Z
61,pet_shop,214315.41,1947.0,1.5771770162334577,81.1913639534459,B,88.5,58.56518549770804,66.17535084486784,Z
62,security_and_services,283.28999999999996,2.0,0.0020847706514840725,99.99999999999999,C,1.0,0.0,0.0,X
63,signaling_and_security,21509.23,199.0,0.1582894258181396,98.87294505051389,C,11.705882352941176,9.149895531386909,78.16493670029018,Z
64,small_appliances,190338.68,678.0,1.4007289135028362,84.00135985419173,B,33.9,13.07025550428791,38.55532597135077,Z
65,small_appliances_home_oven_and_coffee,47445.71,76.0,0.34915960233973803,96.01085357991037,C,6.909090909090909,6.685125959240341,96.7584020416365,Z
66,sports_leisure,987800.99,8639.0,7.269365362204498,33.0282945692459,A,392.6363636363636,218.45857086904874,55.63890436581469,Z
67,stationery,230943.23,2517.0,1.6995434645167007,77.97337014245431,A,119.85714285714286,95.2387976164576,79.46026022827213,Z
68,tablets_printing_image,7528.41,83.0,0.05540262000190338,99.65946685466679,C,5.1875,3.187867625859016,61.45286989607741,Z
69,telephony,323569.52999999997,4543.0,2.3811933349517993,74.25771164733283,A,197.52173913043478,120.3233785056743,60.91652444707262,Z
70,toys,483757.61,4116.0,3.5600397746481627,65.92329996087905,A,187.0909090909091,125.72642601750117,67.20071361479654,Z
71,watches_gifts,1204727.68,5989.0,8.865759152439182,18.128570819644683,A,272.22727272727275,204.22371762316646,75.01956566554787,Z
